Service,Cost ($)
AWS Cost Explorer,0.08
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),0.00575599
EC2 - Other,0.2046933266
Amazon Relational Database Service,0.0476731768
Amazon Simple Storage Service,7.00016e-05
AmazonCloudWatch,0.0
Tax,0.06
TOTAL,0.398192495
