Service,Cost ($)
AWS CloudShell,0.0
AWS Cost Explorer,0.0
AWS Data Transfer,-5.65097e-05
AWS Glue,0.0
AWS Key Management Service,0.0
AWS Secrets Manager,0.0
EC2 - Other,5.64067e-05
Amazon Elastic Compute Cloud - Compute,-0.0
Amazon Location Service,0.0
Amazon Simple Notification Service,0.0
Amazon Simple Queue Service,0.0
Amazon Simple Storage Service,1.64e-08
Amazon Virtual Private Cloud,0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,-8.659999999999546e-08
