Service,Cost ($)
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),0.00028078
EC2 - Other,0.0091199997
Amazon Simple Storage Service,5e-06
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,0.0094057797
