Service,Cost ($)
AWS Cost Explorer,0.0
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),1.34e-08
EC2 - Other,-8.5e-09
Amazon Relational Database Service,-1e-09
Amazon Simple Storage Service,-0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,3.899999999999999e-09
