Service,Cost ($)
AWS Cost Explorer,0.0
AWS Data Transfer,-1.6e-09
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),2.24e-08
EC2 - Other,-1.41e-08
Amazon Relational Database Service,-2e-09
Amazon Simple Storage Service,1.6e-09
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,6.299999999999998e-09
