Service,Cost ($)
AWS Cost Explorer,0.21
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),0.014516326
EC2 - Other,0.5228799828
Amazon Relational Database Service,0.1251420891
Amazon Simple Storage Service,0.0001450034
AmazonCloudWatch,0.0
Tax,0.16
TOTAL,1.0326834013
