Service,Cost ($)
AWS Cost Explorer,0.0
AWS Data Transfer,-1.957e-07
EC2 - Other,1.758e-07
Amazon Elastic Compute Cloud - Compute,-0.0
Amazon Simple Storage Service,0.0
Amazon Virtual Private Cloud,0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,-1.9900000000000013e-08
