Service,Cost ($)
AWS Cost Explorer,0.0
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),6.02e-08
EC2 - Other,-3.86e-08
Amazon Relational Database Service,-6e-09
Amazon Simple Storage Service,0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,1.5599999999999994e-08
