Service,Cost ($)
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),0.0
EC2 - Other,3e-10
Amazon Simple Storage Service,0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,3e-10
