Service,Cost ($)
AWS Cost Explorer,0.0
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),7.52e-08
EC2 - Other,-4.8e-08
Amazon Relational Database Service,-7.5e-09
Amazon Simple Storage Service,0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,1.9699999999999998e-08
