Service,Cost ($)
AWS Cost Explorer,0.0
AWS Data Transfer,-3.4e-09
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),4.58e-08
EC2 - Other,-2.94e-08
Amazon Relational Database Service,-4.5e-09
Amazon Simple Storage Service,3.4e-09
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,1.1900000000000004e-08
