Service,Cost ($)
AWS Cost Explorer,0.0
AWS Data Transfer,-3.4e-09
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),8e-08
EC2 - Other,-5.11e-08
Amazon Relational Database Service,-8e-09
Amazon Simple Storage Service,3.4e-09
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,2.09e-08
