Service,Cost ($)
AWS Cost Explorer,0.0
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),7.04e-08
EC2 - Other,-4.49e-08
Amazon Relational Database Service,-7e-09
Amazon Simple Storage Service,0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,1.8499999999999997e-08
