Service,Cost ($)
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),2e-09
EC2 - Other,-9e-10
Amazon Simple Storage Service,0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,1.1000000000000001e-09
