Service,Cost ($)
AWS Cost Explorer,0.0
AWS Data Transfer,-3.4e-09
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),1.088e-07
EC2 - Other,-6.99e-08
Amazon Relational Database Service,-1.1e-08
Amazon Simple Storage Service,3.4e-09
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,2.7899999999999995e-08
