Service,Cost ($)
AWS Cost Explorer,0.0
AWS Glue,0.0
AWS Key Management Service,0.0
EC2 - Other,1.545e-07
Amazon Relational Database Service,6e-10
Amazon Simple Storage Service,0.0
Amazon Virtual Private Cloud,0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,1.5509999999999998e-07
