Service,Cost ($)
AWS Cost Explorer,0.0
AWS Data Transfer,-1.8e-09
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),-0.0
EC2 - Other,2.38e-08
Amazon Relational Database Service,5.6e-09
Amazon Simple Storage Service,1.8e-09
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,2.9400000000000002e-08
