Service,Cost ($)
AWS Cost Explorer,0.0
AWS Data Transfer,-1.6e-09
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),1.7e-08
EC2 - Other,-1.07e-08
Amazon Relational Database Service,-1.5e-09
Amazon Simple Storage Service,1.6e-09
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,4.799999999999999e-09
