Service,Cost ($)
AWS Cost Explorer,0.0
AWS Glue,0.0
AWS Key Management Service,0.0
EC2 - Other,1.309e-07
Amazon Relational Database Service,1.2e-09
Amazon Simple Storage Service,0.0
Amazon Virtual Private Cloud,0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,1.321e-07
