Service,Cost ($)
AWS Cost Explorer,0.0
AWS Data Transfer,-1.8e-09
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),0.0
EC2 - Other,2.9e-09
Amazon Relational Database Service,4e-10
Amazon Simple Storage Service,1.8e-09
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,3.2999999999999998e-09
