Service,Cost ($)
AWS Cost Explorer,0.0
AWS Glue,0.0
Amazon EC2 Container Registry (ECR),7.4e-09
EC2 - Other,-4.4e-09
Amazon Relational Database Service,-5e-10
Amazon Simple Storage Service,0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,2.5000000000000005e-09
