Service,Cost ($)
AWS Cost Explorer,0.0
AWS Data Transfer,-1.24938e-05
AWS Glue,0.0
AWS Key Management Service,0.0
AWS Secrets Manager,0.0
EC2 - Other,1.24641e-05
Amazon Elastic Compute Cloud - Compute,0.0
Amazon Location Service,-0.0
Amazon Simple Notification Service,0.0
Amazon Simple Queue Service,0.0
Amazon Simple Storage Service,9.1e-09
Amazon Virtual Private Cloud,0.0
AmazonCloudWatch,0.0
Tax,0.0
TOTAL,-2.0600000000000747e-08
